mot,url,source
Antandroy,https://mg.wikipedia.org/wiki/Antandroy,wikipedia_mg
sokatra,https://mg.wikipedia.org/wiki/Sokatra,wikipedia_mg
[1],https://mg.wikipedia.org/wiki/Wikipedia:Fandraisana#cite_note-1,wikipedia_mg
omby,https://mg.wikipedia.org/wiki/Omby,wikipedia_mg
osy,https://mg.wikipedia.org/wiki/Osy,wikipedia_mg
ondry,https://mg.wikipedia.org/wiki/Ondry,wikipedia_mg
akoho,https://mg.wikipedia.org/wiki/Akoho,wikipedia_mg
vorontsiloza,https://mg.wikipedia.org/wiki/Vorontsiloza,wikipedia_mg
mangahazo,https://mg.wikipedia.org/wiki/Mangahazo,wikipedia_mg
voamaina,https://mg.wikipedia.org/wiki/Voamaina,wikipedia_mg
Afrika,https://mg.wikipedia.org/wiki/Faritra_Atsimo_ao_Afrika,wikipedia_mg
mahafaly,https://mg.wikipedia.org/wiki/Fiteny_mahafaly,wikipedia_mg
fiteny antandroy,https://mg.wikipedia.org/wiki/Fiteny_antandroy,wikipedia_mg
fiteny malagasy,https://mg.wikipedia.org/wiki/Fiteny_malagasy,wikipedia_mg
vondrom-piteny malaiô-pôlineziana,https://mg.wikipedia.org/wiki/Fiteny_malaiô-pôlineziana,wikipedia_mg
[2],https://mg.wikipedia.org/wiki/Wikipedia:Fandraisana#cite_note-2,wikipedia_mg
[3],https://mg.wikipedia.org/wiki/Wikipedia:Fandraisana#cite_note-3,wikipedia_mg
[4],https://mg.wikipedia.org/wiki/Wikipedia:Fandraisana#cite_note-4,wikipedia_mg
Sarin’ny anio,https://mg.wikipedia.org/wiki/Wikipedia:Sary/*,wikipedia_mg
Ny vaovao,https://mg.wikipedia.org/wiki/Wikipedia:Vaovao,wikipedia_mg
Hetsi-panoheran'ny 2025 eto Madagasikara,https://mg.wikipedia.org/wiki/Hetsi-panoheran'ny_2025_eto_Madagasikara,wikipedia_mg
ovaina,http://mg.wikipedia.org/w/index.php?title=Wikipedia:Vaovao&action=edit,wikipedia_mg
Efemerida,https://mg.wikipedia.org/wiki/Wikipedia:Efemerida,wikipedia_mg
9 Desambra,https://mg.wikipedia.org/wiki/9_Desambra,wikipedia_mg
2025,https://mg.wikipedia.org/wiki/2025?action=edit&redlink=1,wikipedia_mg
dia azonao ampiana na foronina,https://mg.wikipedia.org/w/index.php?title=Wikipedia:Efemerida/9_Desambra&action=edit,wikipedia_mg
vakio ny toromarika,https://mg.wikipedia.org/wiki/Wikipedia:Efemerida/toromarika,wikipedia_mg
tsindrio eto raha te-hijery azy amin'ny teny anglisy,https://en.wikipedia.org/wiki/Wikipedia:Selected_anniversaries,wikipedia_mg
Wikimedia Foundation ireo volavola,https://foundation.wikimedia.org/wiki/Accueil?uselang=mg,wikipedia_mg
Meta-Wiki,https://meta.wikimedia.org/wiki/Fandraisana,wikipedia_mg
Wikibolana,https://mg.wiktionary.org/wiki/,wikipedia_mg
Wikigazety,https://mg.wikinews.org/wiki/,wikipedia_mg
incubator,http://incubator.wikimedia.org/wiki/Wn/mg/Fandraisana,wikipedia_mg
Wikiboky,https://mg.wikibooks.org/wiki/,wikipedia_mg
Wikitanisa,https://mg.wikiquote.org/wiki/,wikipedia_mg
Wikifamakiam-boky,https://mg.wikisource.org/wiki/,wikipedia_mg
tetikasa iraisana,http://wikisource.org/wiki/Main_Page:Fandraisana,wikipedia_mg
Wikiversite,https://mg.wikiversity.org/wiki/,wikipedia_mg
Wikiversite iraisana,http://beta.wikiversity.org/wiki/Fandraisana,wikipedia_mg
Wikispecies,https://species.wikimedia.org/wiki/Fandraisana,wikipedia_mg
Wikimedia Commons,https://commons.wikimedia.org/wiki/Fandraisana,wikipedia_mg
Lisitry ny Wikipedia,https://meta.wikimedia.org/wiki/List_of_Wikipedias,wikipedia_mg
anglisy,https://en.wikipedia.org/wiki/,wikipedia_mg
alemana,https://de.wikipedia.org/wiki/,wikipedia_mg
frantsay,https://fr.wikipedia.org/wiki/,wikipedia_mg
nerlandey,https://nl.wikipedia.org/wiki/,wikipedia_mg
italiana,https://it.wikipedia.org/wiki/,wikipedia_mg
espaniola,https://es.wikipedia.org/wiki/,wikipedia_mg
rosy,https://ru.wikipedia.org/wiki/,wikipedia_mg
japoney,https://ja.wikipedia.org/wiki/,wikipedia_mg
portogey,https://pt.wikipedia.org/wiki/,wikipedia_mg
Afar,https://aa.wikipedia.org/wiki/,wikipedia_mg
Afrikaans,https://af.wikipedia.org/wiki/,wikipedia_mg
Akan,https://ak.wikipedia.org/wiki/,wikipedia_mg
አማርኛ,https://am.wikipedia.org/wiki/,wikipedia_mg
Bamanankan,https://bm.wikipedia.org/wiki/,wikipedia_mg
Chi-Chewa,https://ny.wikipedia.org/wiki/,wikipedia_mg
chiTumbuka,https://tum.wikipedia.org/wiki/,wikipedia_mg
Fulfude,https://ff.wikipedia.org/wiki/,wikipedia_mg
Gĩkũyũ,https://ki.wikipedia.org/wiki/,wikipedia_mg
Hausa / هَوُسَ,https://ha.wikipedia.org/wiki/,wikipedia_mg
Igbo,https://ig.wikipedia.org/wiki/,wikipedia_mg
isiXhisiZuuluosa,https://xh.wikipedia.org/wiki/,wikipedia_mg
isiZulu,https://zu.wikipedia.org/wiki/,wikipedia_mg
Kanuri,https://kr.wikipedia.org/wiki/,wikipedia_mg
Kinyarwanda,https://rw.wikipedia.org/wiki/,wikipedia_mg
Kirundi,https://rn.wikipedia.org/wiki/,wikipedia_mg
Kiswahili,https://sw.wikipedia.org/wiki/,wikipedia_mg
Kongo,https://kg.wikipedia.org/wiki/,wikipedia_mg
Kuanyama,https://kj.wikipedia.org/wiki/,wikipedia_mg
Lingala,https://ln.wikipedia.org/wiki/,wikipedia_mg
Luganda,https://lg.wikipedia.org/wiki/,wikipedia_mg
Ovay,https://mg.wikipedia.org/w/index.php?title=Endrika:OtherLanguages&action=edit,wikipedia_mg
Encyclopedia of African Peoples,https://books.google.mg/books?id=xJQuAgAAQBAJ&redir_esc=y,wikipedia_mg
Omaly sy anio: Hier et aujourd'hui,http://madarevues.recherches.gov.mg/IMG/pdf/omaly13-14_13_.pdf,wikipedia_mg
Le pays Mahafaly dans le sud Malgache,https://www.persee.fr/doc/geo_0003-4010_1911_num_20_110_7420,wikipedia_mg
https://mg.wikipedia.org/w/index.php?title=Wikipedia:Fandraisana&oldid=1107513,https://mg.wikipedia.org/w/index.php?title=Wikipedia:Fandraisana&oldid=1107513,wikipedia_mg
